cms_team_id,cms_league_id,cms_team_name,polymarket_team_id,polymarket_league_id,polymarket_team_name,polymarket_team_slug,status,notes
,aa0b0d9c-804b-422c-a9c5-8ad8ae737e33,,101118,12,US Lecce,lec,unmapped,
,aa0b0d9c-804b-422c-a9c5-8ad8ae737e33,,114301,12,US Sassuolo Calcio,sas,unmapped,
,aa0b0d9c-804b-422c-a9c5-8ad8ae737e33,,101123,12,Venezia,ven,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148747,13,1. FC Union Berlin,unb1,unmapped,same club as BUN team — reuse cms_team_id
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148436,13,AC Milan,mil3,unmapped,same club as SEA team — reuse cms_team_id
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148266,13,AC Sparta Praha,spp1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148809,13,AC Virtus,vir1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148681,13,AEK,aek3,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148454,13,AEK Lárnakas,aek2,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148268,13,AFC Ajax,aja1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148460,13,AFC Astra Giurgiu,ast5,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148462,13,AIK Fotboll,aik1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148464,13,Alashkert FA,ala1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148271,13,APÓEL,apo2,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148468,13,Apóllon Lemesoú,apo3,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148757,13,Ararat-Armenia FA,a-a1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148226,13,Arsenal FC,ars1,unmapped,same club as EPL team — reuse cms_team_id
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148273,13,AS Monaco FC,asm1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148470,13,AS Omónoia Leukosías,omo1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148275,13,AS Roma,rom1,unmapped,same club as SEA team — reuse cms_team_id
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148326,13,AS Trenčín,tre1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148331,13,Astana FK,ast4,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148230,13,Aston Villa FC,ast3,unmapped,same club as EPL team — reuse cms_team_id
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148438,13,Atalanta BC,ata1,unmapped,same club as SEA team — reuse cms_team_id
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148428,13,Athletic Club,ath1,unmapped,same club as LAL team — reuse cms_team_id
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148797,13,Atlétic Club d'Escaldes,esc1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148447,13,AZ,az1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148277,13,B36,b361,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148247,13,Bayer 04 Leverkusen,lev2,unmapped,same club as BUN team — reuse cms_team_id
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148472,13,Beşiktaş JK,bes1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148645,13,BK Häcken,bkh1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148440,13,Bologna FC 1909,bol1,unmapped,same club as SEA team — reuse cms_team_id
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148249,13,Borussia Mönchengladbach,bmg1,unmapped,same club as BUN team — reuse cms_team_id
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148474,13,Brøndby IF,bro1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148279,13,BSC Young Boys,yob1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148691,13,Budapest Honvéd FC,hon1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148251,13,BV Borussia 09 Dortmund,bvb1,unmapped,same club as BUN team — reuse cms_team_id
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148282,13,Celtic FC,cel2,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148232,13,Chelsea FC,cfc1,unmapped,same club as EPL team — reuse cms_team_id
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148284,13,Club Atlético de Madrid,atm1,unmapped,same club as LAL team — reuse cms_team_id
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148286,13,Club Brugge KV,bru1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148658,13,Connah's Quay Nomads FC,coq1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148476,13,Cork City FC,coc1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148288,13,Crusaders FC,cru1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148291,13,CS Fola Esch,fol2,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148727,13,Djurgårdens IF FF,dif3,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148293,13,Dundalk FC,dun1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148253,13,Eintracht Frankfurt,fra1,unmapped,same club as BUN team — reuse cms_team_id
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148478,13,Europa FC,eur1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148480,13,F91 Diddeleng,f911,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148791,13,FC Ballkani,bal1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148295,13,FC Barcelona,fcb1,unmapped,same club as LAL team — reuse cms_team_id
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148297,13,FC Basel 1893,bas1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148255,13,FC Bayern München,bay1,unmapped,same club as BUN team — reuse cms_team_id
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148721,13,FC CFR 1907 Cluj,clu1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148719,13,FC Drita,dgj1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148483,13,FC Déifferdeng 03,dif2,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148751,13,FC Feronikeli 74,fer1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148495,13,FC Flora,flo2,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148443,13,FC Internazionale Milano,int2,unmapped,same club as SEA team — reuse cms_team_id
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148497,13,FC København,kob1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148695,13,FC Lugano,lug1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148305,13,FC Midtjylland,mid1,unmapped,
,cc0d8029-3294-417f-b04f-bdc4d7fb8675,,148308,13,FC Milsami Orhei,mil2,unmapped,
